tipo_de_arco;i;j;s;a;b;c;m;n
location;SUP_0_in;SUP_0_out;0;91035;71;1000000.0;0;0
location;SUP_0_in;SUP_0_out;1;91035;68;1000000.0;0;0
location;SUP_0_in;SUP_0_out;2;91035;17;1000000.0;0;0
location;SUP_0_in;SUP_0_out;3;91035;82;1000000.0;0;0
location;SUP_0_in;SUP_0_out;4;91035;81;1000000.0;0;0
location;SUP_0_in;SUP_0_out;5;91035;95;1000000.0;0;0
location;SUP_0_in;SUP_0_out;6;91035;44;1000000.0;0;0
location;SUP_0_in;SUP_0_out;7;91035;85;1000000.0;0;0
location;SUP_0_in;SUP_0_out;8;91035;99;1000000.0;0;0
location;SUP_0_in;SUP_0_out;9;91035;38;1000000.0;0;0
location;SUP_0_in;SUP_0_out;10;91035;20;1000000.0;0;0
location;SUP_0_in;SUP_0_out;11;91035;69;1000000.0;0;0
location;SUP_0_in;SUP_0_out;12;91035;35;1000000.0;0;0
location;SUP_0_in;SUP_0_out;13;91035;64;1000000.0;0;0
location;SUP_0_in;SUP_0_out;14;91035;95;1000000.0;0;0
location;SUP_0_in;SUP_0_out;15;91035;99;1000000.0;0;0
location;SUP_0_in;SUP_0_out;16;91035;96;1000000.0;0;0
location;SUP_0_in;SUP_0_out;17;91035;38;1000000.0;0;0
location;SUP_0_in;SUP_0_out;18;91035;60;1000000.0;0;0
location;SUP_0_in;SUP_0_out;19;91035;44;1000000.0;0;0
location;SUP_0_in;SUP_0_out;20;91035;48;1000000.0;0;0
location;SUP_0_in;SUP_0_out;21;91035;97;1000000.0;0;0
location;SUP_0_in;SUP_0_out;22;91035;76;1000000.0;0;0
location;SUP_0_in;SUP_0_out;23;91035;55;1000000.0;0;0
location;SUP_0_in;SUP_0_out;24;91035;43;1000000.0;0;0
location;SUP_0_in;SUP_0_out;25;91035;70;1000000.0;0;0
location;SUP_0_in;SUP_0_out;26;91035;27;1000000.0;0;0
location;SUP_0_in;SUP_0_out;27;91035;99;1000000.0;0;0
location;SUP_0_in;SUP_0_out;28;91035;17;1000000.0;0;0
location;SUP_0_in;SUP_0_out;29;91035;78;1000000.0;0;0
location;SUP_0_in;SUP_0_out;30;91035;30;1000000.0;0;0
location;SUP_0_in;SUP_0_out;31;91035;98;1000000.0;0;0
location;SUP_0_in;SUP_0_out;32;91035;63;1000000.0;0;0
location;SUP_0_in;SUP_0_out;33;91035;44;1000000.0;0;0
location;SUP_0_in;SUP_0_out;34;91035;79;1000000.0;0;0
location;SUP_0_in;SUP_0_out;35;91035;61;1000000.0;0;0
location;SUP_0_in;SUP_0_out;36;91035;54;1000000.0;0;0
location;SUP_0_in;SUP_0_out;37;91035;59;1000000.0;0;0
location;SUP_0_in;SUP_0_out;38;91035;59;1000000.0;0;0
location;SUP_0_in;SUP_0_out;39;91035;40;1000000.0;0;0
location;SUP_0_in;SUP_0_out;40;91035;51;1000000.0;0;0
location;SUP_0_in;SUP_0_out;41;91035;85;1000000.0;0;0
location;SUP_0_in;SUP_0_out;42;91035;32;1000000.0;0;0
location;SUP_0_in;SUP_0_out;43;91035;73;1000000.0;0;0
location;SUP_0_in;SUP_0_out;44;91035;91;1000000.0;0;0
location;SUP_0_in;SUP_0_out;45;91035;55;1000000.0;0;0
location;SUP_0_in;SUP_0_out;46;91035;18;1000000.0;0;0
location;SUP_0_in;SUP_0_out;47;91035;79;1000000.0;0;0
location;SUP_0_in;SUP_0_out;48;91035;58;1000000.0;0;0
location;SUP_0_in;SUP_0_out;49;91035;31;1000000.0;0;0
location;SUP_1_in;SUP_1_out;0;24386;22;1000000.0;0;0
location;SUP_1_in;SUP_1_out;1;24386;35;1000000.0;0;0
