vertice;s;UF;tipo;d;o
SUP_0_in;0;RO;origem;0;2000
SUP_0_in;1;RO;origem;0;2000
SUP_0_in;2;RO;origem;0;2000
SUP_0_in;3;RO;origem;0;2000
SUP_0_in;4;RO;origem;0;2000
SUP_0_in;5;RO;origem;0;2000
SUP_0_in;6;RO;origem;0;2000
SUP_0_in;7;RO;origem;0;2000
SUP_0_in;8;RO;origem;0;2000
SUP_0_in;9;RO;origem;0;2000
SUP_0_in;10;RO;origem;0;2000
SUP_0_in;11;RO;origem;0;2000
SUP_0_in;12;RO;origem;0;2000
SUP_0_in;13;RO;origem;0;2000
SUP_0_in;14;RO;origem;0;2000
SUP_0_in;15;RO;origem;0;2000
SUP_0_in;16;RO;origem;0;2000
SUP_0_in;17;RO;origem;0;2000
SUP_0_in;18;RO;origem;0;2000
SUP_0_in;19;RO;origem;0;2000
SUP_0_in;20;RO;origem;0;2000
SUP_0_in;21;RO;origem;0;2000
SUP_0_in;22;RO;origem;0;2000
SUP_0_in;23;RO;origem;0;2000
SUP_0_in;24;RO;origem;0;2000
SUP_0_in;25;RO;origem;0;2000
SUP_0_in;26;RO;origem;0;2000
SUP_0_in;27;RO;origem;0;2000
SUP_0_in;28;RO;origem;0;2000
SUP_0_in;29;RO;origem;0;2000
SUP_0_in;30;RO;origem;0;2000
SUP_0_in;31;RO;origem;0;2000
SUP_0_in;32;RO;origem;0;2000
SUP_0_in;33;RO;origem;0;2000
SUP_0_in;34;RO;origem;0;2000
SUP_0_in;35;RO;origem;0;2000
SUP_0_in;36;RO;origem;0;2000
SUP_0_in;37;RO;origem;0;2000
SUP_0_in;38;RO;origem;0;2000
SUP_0_in;39;RO;origem;0;2000
SUP_0_in;40;RO;origem;0;2000
SUP_0_in;41;RO;origem;0;2000
SUP_0_in;42;RO;origem;0;2000
SUP_0_in;43;RO;origem;0;2000
SUP_0_in;44;RO;origem;0;2000
SUP_0_in;45;RO;origem;0;2000
SUP_0_in;46;RO;origem;0;2000
SUP_0_in;47;RO;origem;0;2000
SUP_0_in;48;RO;origem;0;2000
SUP_0_in;49;RO;origem;0;2000
SUP_1_in;0;TO;origem;0;2000
SUP_1_in;1;TO;origem;0;2000
SUP_1_in;2;TO;origem;0;2000
SUP_1_in;3;TO;origem;0;2000
SUP_1_in;4;TO;origem;0;2000
SUP_1_in;5;TO;origem;0;2000
SUP_1_in;6;TO;origem;0;2000
SUP_1_in;7;TO;origem;0;2000
SUP_1_in;8;TO;origem;0;2000
SUP_1_in;9;TO;origem;0;2000
SUP_1_in;10;TO;origem;0;2000
SUP_1_in;11;TO;origem;0;2000
SUP_1_in;12;TO;origem;0;2000
SUP_1_in;13;TO;origem;0;2000
SUP_1_in;14;TO;origem;0;2000
SUP_1_in;15;TO;origem;0;2000
SUP_1_in;16;TO;origem;0;2000
SUP_1_in;17;TO;origem;0;2000
SUP_1_in;18;TO;origem;0;2000
SUP_1_in;19;TO;origem;0;2000
SUP_1_in;20;TO;origem;0;2000
SUP_1_in;21;TO;origem;0;2000
SUP_1_in;22;TO;origem;0;2000
SUP_1_in;23;TO;origem;0;2000
SUP_1_in;24;TO;origem;0;2000
SUP_1_in;25;TO;origem;0;2000
SUP_1_in;26;TO;origem;0;2000
SUP_1_in;27;TO;origem;0;2000
SUP_1_in;28;TO;origem;0;2000
SUP_1_in;29;TO;origem;0;2000
SUP_1_in;30;TO;origem;0;2000
SUP_1_in;31;TO;origem;0;2000
SUP_1_in;32;TO;origem;0;2000
SUP_1_in;33;TO;origem;0;2000
SUP_1_in;34;TO;origem;0;2000
SUP_1_in;35;TO;origem;0;2000
SUP_1_in;36;TO;origem;0;2000
SUP_1_in;37;TO;origem;0;2000
SUP_1_in;38;TO;origem;0;2000
SUP_1_in;39;TO;origem;0;2000
SUP_1_in;40;TO;origem;0;2000
SUP_1_in;41;TO;origem;0;2000
SUP_1_in;42;TO;origem;0;2000
SUP_1_in;43;TO;origem;0;2000
SUP_1_in;44;TO;origem;0;2000
SUP_1_in;45;TO;origem;0;2000
SUP_1_in;46;TO;origem;0;2000
SUP_1_in;47;TO;origem;0;2000
SUP_1_in;48;TO;origem;0;2000
SUP_1_in;49;TO;origem;0;2000
SUP_2_in;0;MT;origem;0;2000
SUP_2_in;1;MT;origem;0;2000
SUP_2_in;2;MT;origem;0;2000
SUP_2_in;3;MT;origem;0;2000
SUP_2_in;4;MT;origem;0;2000
SUP_2_in;5;MT;origem;0;2000
SUP_2_in;6;MT;origem;0;2000
SUP_2_in;7;MT;origem;0;2000
SUP_2_in;8;MT;origem;0;2000
SUP_2_in;9;MT;origem;0;2000
SUP_2_in;10;MT;origem;0;2000
SUP_2_in;11;MT;origem;0;2000
SUP_2_in;12;MT;origem;0;2000
SUP_2_in;13;MT;origem;0;2000
SUP_2_in;14;MT;origem;0;2000
SUP_2_in;15;MT;origem;0;2000
SUP_2_in;16;MT;origem;0;2000
SUP_2_in;17;MT;origem;0;2000
SUP_2_in;18;MT;origem;0;2000
SUP_2_in;19;MT;origem;0;2000
SUP_2_in;20;MT;origem;0;2000
SUP_2_in;21;MT;origem;0;2000
SUP_2_in;22;MT;origem;0;2000
SUP_2_in;23;MT;origem;0;2000
SUP_2_in;24;MT;origem;0;2000
SUP_2_in;25;MT;origem;0;2000
SUP_2_in;26;MT;origem;0;2000
SUP_2_in;27;MT;origem;0;2000
SUP_2_in;28;MT;origem;0;2000
SUP_2_in;29;MT;origem;0;2000
SUP_2_in;30;MT;origem;0;2000
SUP_2_in;31;MT;origem;0;2000
SUP_2_in;32;MT;origem;0;2000
SUP_2_in;33;MT;origem;0;2000
SUP_2_in;34;MT;origem;0;2000
SUP_2_in;35;MT;origem;0;2000
SUP_2_in;36;MT;origem;0;2000
SUP_2_in;37;MT;origem;0;2000
SUP_2_in;38;MT;origem;0;2000
SUP_2_in;39;MT;origem;0;2000
SUP_2_in;40;MT;origem;0;2000
SUP_2_in;41;MT;origem;0;2000
SUP_2_in;42;MT;origem;0;2000
SUP_2_in;43;MT;origem;0;2000
SUP_2_in;44;MT;origem;0;2000
SUP_2_in;45;MT;origem;0;2000
SUP_2_in;46;MT;origem;0;2000
SUP_2_in;47;MT;origem;0;2000
SUP_2_in;48;MT;origem;0;2000
SUP_2_in;49;MT;origem;0;2000
SUP_3_in;0;ES;origem;0;2000
SUP_3_in;1;ES;origem;0;2000
SUP_3_in;2;ES;origem;0;2000
SUP_3_in;3;ES;origem;0;2000
SUP_3_in;4;ES;origem;0;2000
SUP_3_in;5;ES;origem;0;2000
SUP_3_in;6;ES;origem;0;2000
SUP_3_in;7;ES;origem;0;2000
SUP_3_in;8;ES;origem;0;2000
SUP_3_in;9;ES;origem;0;2000
SUP_3_in;10;ES;origem;0;2000
SUP_3_in;11;ES;origem;0;2000
SUP_3_in;12;ES;origem;0;2000
SUP_3_in;13;ES;origem;0;2000
SUP_3_in;14;ES;origem;0;2000
SUP_3_in;15;ES;origem;0;2000
SUP_3_in;16;ES;origem;0;2000
SUP_3_in;17;ES;origem;0;2000
SUP_3_in;18;ES;origem;0;2000
SUP_3_in;19;ES;origem;0;2000
SUP_3_in;20;ES;origem;0;2000
SUP_3_in;21;ES;origem;0;2000
SUP_3_in;22;ES;origem;0;2000
SUP_3_in;23;ES;origem;0;2000
SUP_3_in;24;ES;origem;0;2000
SUP_3_in;25;ES;origem;0;2000
SUP_3_in;26;ES;origem;0;2000
SUP_3_in;27;ES;origem;0;2000
SUP_3_in;28;ES;origem;0;2000
SUP_3_in;29;ES;origem;0;2000
SUP_3_in;30;ES;origem;0;2000
SUP_3_in;31;ES;origem;0;2000
SUP_3_in;32;ES;origem;0;2000
SUP_3_in;33;ES;origem;0;2000
SUP_3_in;34;ES;origem;0;2000
SUP_3_in;35;ES;origem;0;2000
SUP_3_in;36;ES;origem;0;2000
SUP_3_in;37;ES;origem;0;2000
SUP_3_in;38;ES;origem;0;2000
SUP_3_in;39;ES;origem;0;2000
SUP_3_in;40;ES;origem;0;2000
SUP_3_in;41;ES;origem;0;2000
SUP_3_in;42;ES;origem;0;2000
SUP_3_in;43;ES;origem;0;2000
SUP_3_in;44;ES;origem;0;2000
SUP_3_in;45;ES;origem;0;2000
SUP_3_in;46;ES;origem;0;2000
SUP_3_in;47;ES;origem;0;2000
SUP_3_in;48;ES;origem;0;2000
SUP_3_in;49;ES;origem;0;2000
SUP_4_in;0;RS;origem;0;2000
SUP_4_in;1;RS;origem;0;2000
SUP_4_in;2;RS;origem;0;2000
SUP_4_in;3;RS;origem;0;2000
SUP_4_in;4;RS;origem;0;2000
SUP_4_in;5;RS;origem;0;2000
SUP_4_in;6;RS;origem;0;2000
SUP_4_in;7;RS;origem;0;2000
SUP_4_in;8;RS;origem;0;2000
SUP_4_in;9;RS;origem;0;2000
SUP_4_in;10;RS;origem;0;2000
SUP_4_in;11;RS;origem;0;2000
SUP_4_in;12;RS;origem;0;2000
SUP_4_in;13;RS;origem;0;2000
SUP_4_in;14;RS;origem;0;2000
SUP_4_in;15;RS;origem;0;2000
SUP_4_in;16;RS;origem;0;2000
SUP_4_in;17;RS;origem;0;2000
SUP_4_in;18;RS;origem;0;2000
SUP_4_in;19;RS;origem;0;2000
SUP_4_in;20;RS;origem;0;2000
SUP_4_in;21;RS;origem;0;2000
SUP_4_in;22;RS;origem;0;2000
SUP_4_in;23;RS;origem;0;2000
SUP_4_in;24;RS;origem;0;2000
SUP_4_in;25;RS;origem;0;2000
SUP_4_in;26;RS;origem;0;2000
SUP_4_in;27;RS;origem;0;2000
SUP_4_in;28;RS;origem;0;2000
SUP_4_in;29;RS;origem;0;2000
SUP_4_in;30;RS;origem;0;2000
SUP_4_in;31;RS;origem;0;2000
SUP_4_in;32;RS;origem;0;2000
SUP_4_in;33;RS;origem;0;2000
SUP_4_in;34;RS;origem;0;2000
SUP_4_in;35;RS;origem;0;2000
SUP_4_in;36;RS;origem;0;2000
SUP_4_in;37;RS;origem;0;2000
SUP_4_in;38;RS;origem;0;2000
SUP_4_in;39;RS;origem;0;2000
SUP_4_in;40;RS;origem;0;2000
SUP_4_in;41;RS;origem;0;2000
SUP_4_in;42;RS;origem;0;2000
SUP_4_in;43;RS;origem;0;2000
SUP_4_in;44;RS;origem;0;2000
SUP_4_in;45;RS;origem;0;2000
SUP_4_in;46;RS;origem;0;2000
SUP_4_in;47;RS;origem;0;2000
SUP_4_in;48;RS;origem;0;2000
SUP_4_in;49;RS;origem;0;2000
SUP_5_in;0;PE;origem;0;2000
SUP_5_in;1;PE;origem;0;2000
SUP_5_in;2;PE;origem;0;2000
SUP_5_in;3;PE;origem;0;2000
SUP_5_in;4;PE;origem;0;2000
SUP_5_in;5;PE;origem;0;2000
SUP_5_in;6;PE;origem;0;2000
SUP_5_in;7;PE;origem;0;2000
SUP_5_in;8;PE;origem;0;2000
SUP_5_in;9;PE;origem;0;2000
SUP_5_in;10;PE;origem;0;2000
SUP_5_in;11;PE;origem;0;2000
SUP_5_in;12;PE;origem;0;2000
SUP_5_in;13;PE;origem;0;2000
SUP_5_in;14;PE;origem;0;2000
SUP_5_in;15;PE;origem;0;2000
SUP_5_in;16;PE;origem;0;2000
SUP_5_in;17;PE;origem;0;2000
SUP_5_in;18;PE;origem;0;2000
SUP_5_in;19;PE;origem;0;2000
SUP_5_in;20;PE;origem;0;2000
SUP_5_in;21;PE;origem;0;2000
SUP_5_in;22;PE;origem;0;2000
SUP_5_in;23;PE;origem;0;2000
SUP_5_in;24;PE;origem;0;2000
SUP_5_in;25;PE;origem;0;2000
SUP_5_in;26;PE;origem;0;2000
SUP_5_in;27;PE;origem;0;2000
SUP_5_in;28;PE;origem;0;2000
SUP_5_in;29;PE;origem;0;2000
SUP_5_in;30;PE;origem;0;2000
SUP_5_in;31;PE;origem;0;2000
SUP_5_in;32;PE;origem;0;2000
SUP_5_in;33;PE;origem;0;2000
SUP_5_in;34;PE;origem;0;2000
SUP_5_in;35;PE;origem;0;2000
SUP_5_in;36;PE;origem;0;2000
SUP_5_in;37;PE;origem;0;2000
SUP_5_in;38;PE;origem;0;2000
SUP_5_in;39;PE;origem;0;2000
SUP_5_in;40;PE;origem;0;2000
SUP_5_in;41;PE;origem;0;2000
SUP_5_in;42;PE;origem;0;2000
SUP_5_in;43;PE;origem;0;2000
SUP_5_in;44;PE;origem;0;2000
SUP_5_in;45;PE;origem;0;2000
SUP_5_in;46;PE;origem;0;2000
SUP_5_in;47;PE;origem;0;2000
SUP_5_in;48;PE;origem;0;2000
SUP_5_in;49;PE;origem;0;2000
SUP_6_in;0;RJ;origem;0;2000
SUP_6_in;1;RJ;origem;0;2000
SUP_6_in;2;RJ;origem;0;2000
SUP_6_in;3;RJ;origem;0;2000
SUP_6_in;4;RJ;origem;0;2000
SUP_6_in;5;RJ;origem;0;2000
SUP_6_in;6;RJ;origem;0;2000
SUP_6_in;7;RJ;origem;0;2000
SUP_6_in;8;RJ;origem;0;2000
SUP_6_in;9;RJ;origem;0;2000
SUP_6_in;10;RJ;origem;0;2000
SUP_6_in;11;RJ;origem;0;2000
SUP_6_in;12;RJ;origem;0;2000
SUP_6_in;13;RJ;origem;0;2000
SUP_6_in;14;RJ;origem;0;2000
SUP_6_in;15;RJ;origem;0;2000
SUP_6_in;16;RJ;origem;0;2000
SUP_6_in;17;RJ;origem;0;2000
SUP_6_in;18;RJ;origem;0;2000
SUP_6_in;19;RJ;origem;0;2000
SUP_6_in;20;RJ;origem;0;2000
SUP_6_in;21;RJ;origem;0;2000
SUP_6_in;22;RJ;origem;0;2000
SUP_6_in;23;RJ;origem;0;2000
SUP_6_in;24;RJ;origem;0;2000
SUP_6_in;25;RJ;origem;0;2000
SUP_6_in;26;RJ;origem;0;2000
SUP_6_in;27;RJ;origem;0;2000
SUP_6_in;28;RJ;origem;0;2000
SUP_6_in;29;RJ;origem;0;2000
SUP_6_in;30;RJ;origem;0;2000
SUP_6_in;31;RJ;origem;0;2000
SUP_6_in;32;RJ;origem;0;2000
SUP_6_in;33;RJ;origem;0;2000
SUP_6_in;34;RJ;origem;0;2000
SUP_6_in;35;RJ;origem;0;2000
SUP_6_in;36;RJ;origem;0;2000
SUP_6_in;37;RJ;origem;0;2000
SUP_6_in;38;RJ;origem;0;2000
SUP_6_in;39;RJ;origem;0;2000
SUP_6_in;40;RJ;origem;0;2000
SUP_6_in;41;RJ;origem;0;2000
SUP_6_in;42;RJ;origem;0;2000
SUP_6_in;43;RJ;origem;0;2000
SUP_6_in;44;RJ;origem;0;2000
SUP_6_in;45;RJ;origem;0;2000
SUP_6_in;46;RJ;origem;0;2000
SUP_6_in;47;RJ;origem;0;2000
SUP_6_in;48;RJ;origem;0;2000
SUP_6_in;49;RJ;origem;0;2000
SUP_7_in;0;DF;origem;0;2000
SUP_7_in;1;DF;origem;0;2000
SUP_7_in;2;DF;origem;0;2000
SUP_7_in;3;DF;origem;0;2000
SUP_7_in;4;DF;origem;0;2000
SUP_7_in;5;DF;origem;0;2000
SUP_7_in;6;DF;origem;0;2000
SUP_7_in;7;DF;origem;0;2000
SUP_7_in;8;DF;origem;0;2000
SUP_7_in;9;DF;origem;0;2000
SUP_7_in;10;DF;origem;0;2000
SUP_7_in;11;DF;origem;0;2000
SUP_7_in;12;DF;origem;0;2000
SUP_7_in;13;DF;origem;0;2000
SUP_7_in;14;DF;origem;0;2000
SUP_7_in;15;DF;origem;0;2000
SUP_7_in;16;DF;origem;0;2000
SUP_7_in;17;DF;origem;0;2000
SUP_7_in;18;DF;origem;0;2000
SUP_7_in;19;DF;origem;0;2000
SUP_7_in;20;DF;origem;0;2000
SUP_7_in;21;DF;origem;0;2000
SUP_7_in;22;DF;origem;0;2000
SUP_7_in;23;DF;origem;0;2000
SUP_7_in;24;DF;origem;0;2000
SUP_7_in;25;DF;origem;0;2000
SUP_7_in;26;DF;origem;0;2000
SUP_7_in;27;DF;origem;0;2000
SUP_7_in;28;DF;origem;0;2000
SUP_7_in;29;DF;origem;0;2000
SUP_7_in;30;DF;origem;0;2000
SUP_7_in;31;DF;origem;0;2000
SUP_7_in;32;DF;origem;0;2000
SUP_7_in;33;DF;origem;0;2000
SUP_7_in;34;DF;origem;0;2000
SUP_7_in;35;DF;origem;0;2000
SUP_7_in;36;DF;origem;0;2000
SUP_7_in;37;DF;origem;0;2000
SUP_7_in;38;DF;origem;0;2000
SUP_7_in;39;DF;origem;0;2000
SUP_7_in;40;DF;origem;0;2000
SUP_7_in;41;DF;origem;0;2000
SUP_7_in;42;DF;origem;0;2000
SUP_7_in;43;DF;origem;0;2000
SUP_7_in;44;DF;origem;0;2000
SUP_7_in;45;DF;origem;0;2000
SUP_7_in;46;DF;origem;0;2000
SUP_7_in;47;DF;origem;0;2000
SUP_7_in;48;DF;origem;0;2000
SUP_7_in;49;DF;origem;0;2000
SUP_8_in;0;RR;origem;0;2000
SUP_8_in;1;RR;origem;0;2000
SUP_8_in;2;RR;origem;0;2000
SUP_8_in;3;RR;origem;0;2000
SUP_8_in;4;RR;origem;0;2000
SUP_8_in;5;RR;origem;0;2000
SUP_8_in;6;RR;origem;0;2000
SUP_8_in;7;RR;origem;0;2000
