vertice;UF;tipo
SUP_0_in;RO;origem
SUP_1_in;TO;origem
SUP_2_in;MT;origem
SUP_3_in;ES;origem
SUP_4_in;RS;origem
SUP_5_in;PE;origem
SUP_6_in;RJ;origem
SUP_7_in;DF;origem
SUP_8_in;RR;origem
SUP_9_in;SE;origem
FAC_0_in;RR;passagem
FAC_1_in;PE;passagem
FAC_2_in;MS;passagem
FAC_3_in;ES;passagem
FAC_4_in;AC;passagem
FAC_5_in;RJ;passagem
FAC_6_in;MS;passagem
FAC_7_in;RJ;passagem
FAC_8_in;SC;passagem
FAC_9_in;MG;passagem
FLT_0_in;RS;passagem
FLT_1_in;RR;passagem
FLT_2_in;RR;passagem
FLT_3_in;PB;passagem
FLT_4_in;AP;passagem
FLT_5_in;GO;passagem
FLT_6_in;RJ;passagem
FLT_7_in;TO;passagem
FLT_8_in;BA;passagem
FLT_9_in;PI;passagem
CLT_0_in;RO;passagem
CLT_1_in;AP;passagem
CLT_2_in;MT;passagem
CLT_3_in;TO;passagem
CLT_4_in;AM;passagem
CLT_5_in;RJ;passagem
CLT_6_in;PE;passagem
CLT_7_in;AL;passagem
CLT_8_in;MG;passagem
CLT_9_in;MS;passagem
CLT_10_in;PB;passagem
CLT_11_in;GO;passagem
CLT_12_in;RS;passagem
CLT_13_in;PA;passagem
CLT_14_in;CE;passagem
CLT_15_in;RJ;passagem
CLT_16_in;TO;passagem
CLT_17_in;RO;passagem
CLT_18_in;PR;passagem
CLT_19_in;PA;passagem
CLT_20_in;MG;passagem
CLT_21_in;RJ;passagem
CLT_22_in;SP;passagem
CLT_23_in;AM;passagem
CLT_24_in;RJ;passagem
CLT_25_in;ES;passagem
CLT_26_in;SC;passagem
CLT_27_in;PB;passagem
CLT_28_in;BA;passagem
CLT_29_in;PR;passagem
CLT_30_in;AM;passagem
CLT_31_in;CE;passagem
CLT_32_in;GO;passagem
CLT_33_in;MA;passagem
CLT_34_in;BA;passagem
CLT_35_in;DF;passagem
CLT_36_in;SP;passagem
CLT_37_in;TO;passagem
CLT_38_in;MA;passagem
CLT_39_in;RS;passagem
CLT_40_in;MT;passagem
CLT_41_in;RR;passagem
CLT_42_in;MA;passagem
CLT_43_in;AC;passagem
CLT_44_in;SP;passagem
CLT_45_in;AC;passagem
CLT_46_in;PI;passagem
CLT_47_in;MG;passagem
CLT_48_in;SC;passagem
CLT_49_in;CE;passagem
CLT_50_in;RS;passagem
CLT_51_in;GO;passagem
CLT_52_in;MG;passagem
CLT_53_in;SP;passagem
CLT_54_in;SP;passagem
CLT_55_in;MT;passagem
CLT_56_in;SE;passagem
CLT_57_in;RS;passagem
CLT_58_in;CE;passagem
CLT_59_in;MS;passagem
CLT_60_in;RN;passagem
CLT_61_in;AM;passagem
CLT_62_in;AC;passagem
CLT_63_in;MG;passagem
CLT_64_in;PB;passagem
CLT_65_in;BA;passagem
CLT_66_in;CE;passagem
CLT_67_in;BA;passagem
CLT_68_in;RR;passagem
CLT_69_in;GO;passagem
CLT_70_in;PI;passagem
CLT_71_in;MG;passagem
CLT_72_in;CE;passagem
CLT_73_in;DF;passagem
CLT_74_in;RR;passagem
CLT_75_in;PR;passagem
CLT_76_in;MG;passagem
CLT_77_in;PA;passagem
CLT_78_in;PI;passagem
CLT_79_in;RS;passagem
CLT_80_in;SP;passagem
CLT_81_in;BA;passagem
CLT_82_in;MS;passagem
CLT_83_in;ES;passagem
CLT_84_in;AC;passagem
CLT_85_in;RO;passagem
CLT_86_in;MS;passagem
CLT_87_in;BA;passagem
CLT_88_in;RJ;passagem
CLT_89_in;TO;passagem
CLT_90_in;PA;passagem
CLT_91_in;MS;passagem
CLT_92_in;RR;passagem
CLT_93_in;DF;passagem
CLT_94_in;MT;passagem
CLT_95_in;RS;passagem
CLT_96_in;RR;passagem
CLT_97_in;RN;passagem
CLT_98_in;MG;passagem
CLT_99_in;SC;passagem
SUP_0_out;RO;passagem
SUP_1_out;TO;passagem
SUP_2_out;MT;passagem
SUP_3_out;ES;passagem
SUP_4_out;RS;passagem
SUP_5_out;PE;passagem
SUP_6_out;RJ;passagem
SUP_7_out;DF;passagem
SUP_8_out;RR;passagem
SUP_9_out;SE;passagem
FAC_0_out;RR;passagem
FAC_1_out;PE;passagem
FAC_2_out;MS;passagem
FAC_3_out;ES;passagem
FAC_4_out;AC;passagem
FAC_5_out;RJ;passagem
FAC_6_out;MS;passagem
FAC_7_out;RJ;passagem
FAC_8_out;SC;passagem
FAC_9_out;MG;passagem
FLT_0_out;RS;passagem
FLT_1_out;RR;passagem
FLT_2_out;RR;passagem
FLT_3_out;PB;passagem
FLT_4_out;AP;passagem
FLT_5_out;GO;passagem
FLT_6_out;RJ;passagem
FLT_7_out;TO;passagem
FLT_8_out;BA;passagem
FLT_9_out;PI;passagem
CLT_0_out;RO;demanda
CLT_1_out;AP;demanda
CLT_2_out;MT;demanda
CLT_3_out;TO;demanda
CLT_4_out;AM;demanda
CLT_5_out;RJ;demanda
CLT_6_out;PE;demanda
CLT_7_out;AL;demanda
CLT_8_out;MG;demanda
CLT_9_out;MS;demanda
CLT_10_out;PB;demanda
CLT_11_out;GO;demanda
CLT_12_out;RS;demanda
CLT_13_out;PA;demanda
CLT_14_out;CE;demanda
CLT_15_out;RJ;demanda
CLT_16_out;TO;demanda
CLT_17_out;RO;demanda
CLT_18_out;PR;demanda
CLT_19_out;PA;demanda
CLT_20_out;MG;demanda
CLT_21_out;RJ;demanda
CLT_22_out;SP;demanda
CLT_23_out;AM;demanda
CLT_24_out;RJ;demanda
CLT_25_out;ES;demanda
CLT_26_out;SC;demanda
CLT_27_out;PB;demanda
CLT_28_out;BA;demanda
CLT_29_out;PR;demanda
CLT_30_out;AM;demanda
CLT_31_out;CE;demanda
CLT_32_out;GO;demanda
CLT_33_out;MA;demanda
CLT_34_out;BA;demanda
CLT_35_out;DF;demanda
CLT_36_out;SP;demanda
CLT_37_out;TO;demanda
CLT_38_out;MA;demanda
CLT_39_out;RS;demanda
CLT_40_out;MT;demanda
CLT_41_out;RR;demanda
CLT_42_out;MA;demanda
CLT_43_out;AC;demanda
CLT_44_out;SP;demanda
CLT_45_out;AC;demanda
CLT_46_out;PI;demanda
CLT_47_out;MG;demanda
CLT_48_out;SC;demanda
CLT_49_out;CE;demanda
CLT_50_out;RS;demanda
CLT_51_out;GO;demanda
CLT_52_out;MG;demanda
CLT_53_out;SP;demanda
CLT_54_out;SP;demanda
CLT_55_out;MT;demanda
CLT_56_out;SE;demanda
CLT_57_out;RS;demanda
CLT_58_out;CE;demanda
CLT_59_out;MS;demanda
CLT_60_out;RN;demanda
CLT_61_out;AM;demanda
CLT_62_out;AC;demanda
CLT_63_out;MG;demanda
CLT_64_out;PB;demanda
CLT_65_out;BA;demanda
CLT_66_out;CE;demanda
CLT_67_out;BA;demanda
CLT_68_out;RR;demanda
CLT_69_out;GO;demanda
CLT_70_out;PI;demanda
CLT_71_out;MG;demanda
CLT_72_out;CE;demanda
CLT_73_out;DF;demanda
CLT_74_out;RR;demanda
CLT_75_out;PR;demanda
CLT_76_out;MG;demanda
CLT_77_out;PA;demanda
CLT_78_out;PI;demanda
CLT_79_out;RS;demanda
CLT_80_out;SP;demanda
CLT_81_out;BA;demanda
CLT_82_out;MS;demanda
CLT_83_out;ES;demanda
CLT_84_out;AC;demanda
CLT_85_out;RO;demanda
CLT_86_out;MS;demanda
CLT_87_out;BA;demanda
CLT_88_out;RJ;demanda
CLT_89_out;TO;demanda
CLT_90_out;PA;demanda
CLT_91_out;MS;demanda
CLT_92_out;RR;demanda
CLT_93_out;DF;demanda
CLT_94_out;MT;demanda
CLT_95_out;RS;demanda
CLT_96_out;RR;demanda
CLT_97_out;RN;demanda
CLT_98_out;MG;demanda
CLT_99_out;SC;demanda
