vertice;UF;tipo
SUP_0_in;PA;origem
SUP_1_in;PE;origem
SUP_2_in;GO;origem
SUP_3_in;RN;origem
SUP_4_in;AM;origem
SUP_5_in;SP;origem
SUP_6_in;AL;origem
SUP_7_in;RO;origem
SUP_8_in;DF;origem
SUP_9_in;TO;origem
FAC_0_in;SE;passagem
FAC_1_in;RR;passagem
FAC_2_in;DF;passagem
FAC_3_in;ES;passagem
FAC_4_in;MA;passagem
FAC_5_in;AM;passagem
FAC_6_in;BA;passagem
FAC_7_in;RJ;passagem
FAC_8_in;AC;passagem
FAC_9_in;ES;passagem
FLT_0_in;RS;passagem
FLT_1_in;MT;passagem
FLT_2_in;RS;passagem
FLT_3_in;RS;passagem
FLT_4_in;AP;passagem
FLT_5_in;AC;passagem
FLT_6_in;AM;passagem
FLT_7_in;GO;passagem
FLT_8_in;SE;passagem
FLT_9_in;SE;passagem
CLT_0_in;PE;passagem
CLT_1_in;CE;passagem
CLT_2_in;PR;passagem
CLT_3_in;RR;passagem
CLT_4_in;PE;passagem
CLT_5_in;SE;passagem
CLT_6_in;RO;passagem
CLT_7_in;MS;passagem
CLT_8_in;GO;passagem
CLT_9_in;MA;passagem
CLT_10_in;RR;passagem
CLT_11_in;RS;passagem
CLT_12_in;PR;passagem
CLT_13_in;PB;passagem
CLT_14_in;AP;passagem
CLT_15_in;RJ;passagem
CLT_16_in;MA;passagem
CLT_17_in;DF;passagem
CLT_18_in;MA;passagem
CLT_19_in;GO;passagem
CLT_20_in;PI;passagem
CLT_21_in;MS;passagem
CLT_22_in;AP;passagem
CLT_23_in;PR;passagem
CLT_24_in;TO;passagem
CLT_25_in;MG;passagem
CLT_26_in;RN;passagem
CLT_27_in;DF;passagem
CLT_28_in;SC;passagem
CLT_29_in;DF;passagem
CLT_30_in;SP;passagem
CLT_31_in;BA;passagem
CLT_32_in;BA;passagem
CLT_33_in;PE;passagem
CLT_34_in;PR;passagem
CLT_35_in;SE;passagem
CLT_36_in;RN;passagem
CLT_37_in;MT;passagem
CLT_38_in;MS;passagem
CLT_39_in;MG;passagem
CLT_40_in;DF;passagem
CLT_41_in;PA;passagem
CLT_42_in;PE;passagem
CLT_43_in;AM;passagem
CLT_44_in;MT;passagem
CLT_45_in;PE;passagem
CLT_46_in;RJ;passagem
CLT_47_in;AL;passagem
CLT_48_in;AM;passagem
CLT_49_in;RR;passagem
CLT_50_in;MT;passagem
CLT_51_in;DF;passagem
CLT_52_in;GO;passagem
CLT_53_in;AC;passagem
CLT_54_in;MT;passagem
CLT_55_in;RR;passagem
CLT_56_in;PA;passagem
CLT_57_in;AP;passagem
CLT_58_in;GO;passagem
CLT_59_in;MT;passagem
CLT_60_in;AP;passagem
CLT_61_in;CE;passagem
CLT_62_in;MA;passagem
CLT_63_in;PA;passagem
CLT_64_in;RJ;passagem
CLT_65_in;CE;passagem
CLT_66_in;DF;passagem
CLT_67_in;PI;passagem
CLT_68_in;MG;passagem
CLT_69_in;AL;passagem
CLT_70_in;RO;passagem
CLT_71_in;TO;passagem
CLT_72_in;GO;passagem
CLT_73_in;CE;passagem
CLT_74_in;GO;passagem
CLT_75_in;RN;passagem
CLT_76_in;PB;passagem
CLT_77_in;RJ;passagem
CLT_78_in;TO;passagem
CLT_79_in;TO;passagem
CLT_80_in;AC;passagem
CLT_81_in;RR;passagem
CLT_82_in;SE;passagem
CLT_83_in;RR;passagem
CLT_84_in;MS;passagem
CLT_85_in;RS;passagem
CLT_86_in;MT;passagem
CLT_87_in;PE;passagem
CLT_88_in;PR;passagem
CLT_89_in;PE;passagem
CLT_90_in;ES;passagem
CLT_91_in;PI;passagem
CLT_92_in;PI;passagem
CLT_93_in;AP;passagem
CLT_94_in;PE;passagem
CLT_95_in;MS;passagem
CLT_96_in;TO;passagem
CLT_97_in;SP;passagem
CLT_98_in;ES;passagem
CLT_99_in;PE;passagem
CLT_100_in;PA;passagem
CLT_101_in;DF;passagem
CLT_102_in;BA;passagem
CLT_103_in;DF;passagem
CLT_104_in;MG;passagem
CLT_105_in;PE;passagem
CLT_106_in;RO;passagem
CLT_107_in;AL;passagem
CLT_108_in;MT;passagem
CLT_109_in;RO;passagem
CLT_110_in;PB;passagem
CLT_111_in;PI;passagem
CLT_112_in;RR;passagem
CLT_113_in;AL;passagem
CLT_114_in;PA;passagem
CLT_115_in;CE;passagem
CLT_116_in;PB;passagem
CLT_117_in;DF;passagem
CLT_118_in;AC;passagem
CLT_119_in;CE;passagem
CLT_120_in;DF;passagem
CLT_121_in;RS;passagem
CLT_122_in;RN;passagem
CLT_123_in;RS;passagem
CLT_124_in;AC;passagem
CLT_125_in;PR;passagem
CLT_126_in;SC;passagem
CLT_127_in;PI;passagem
CLT_128_in;CE;passagem
CLT_129_in;BA;passagem
CLT_130_in;SE;passagem
CLT_131_in;RN;passagem
CLT_132_in;MS;passagem
CLT_133_in;AC;passagem
CLT_134_in;PI;passagem
CLT_135_in;RJ;passagem
CLT_136_in;AC;passagem
CLT_137_in;PI;passagem
CLT_138_in;AM;passagem
CLT_139_in;MT;passagem
CLT_140_in;CE;passagem
CLT_141_in;PE;passagem
CLT_142_in;SC;passagem
CLT_143_in;GO;passagem
CLT_144_in;PI;passagem
CLT_145_in;PI;passagem
CLT_146_in;RJ;passagem
CLT_147_in;RR;passagem
CLT_148_in;SE;passagem
CLT_149_in;AL;passagem
CLT_150_in;BA;passagem
CLT_151_in;AM;passagem
CLT_152_in;BA;passagem
CLT_153_in;PA;passagem
CLT_154_in;RO;passagem
CLT_155_in;PI;passagem
CLT_156_in;SE;passagem
CLT_157_in;RO;passagem
CLT_158_in;AL;passagem
CLT_159_in;CE;passagem
CLT_160_in;GO;passagem
CLT_161_in;RS;passagem
CLT_162_in;ES;passagem
CLT_163_in;RR;passagem
CLT_164_in;SC;passagem
CLT_165_in;PA;passagem
CLT_166_in;AM;passagem
CLT_167_in;PB;passagem
CLT_168_in;GO;passagem
CLT_169_in;ES;passagem
CLT_170_in;AC;passagem
CLT_171_in;MS;passagem
CLT_172_in;AM;passagem
CLT_173_in;RO;passagem
CLT_174_in;GO;passagem
CLT_175_in;AL;passagem
CLT_176_in;CE;passagem
CLT_177_in;SC;passagem
CLT_178_in;PR;passagem
CLT_179_in;ES;passagem
CLT_180_in;PE;passagem
CLT_181_in;PI;passagem
CLT_182_in;AP;passagem
CLT_183_in;BA;passagem
CLT_184_in;RS;passagem
CLT_185_in;AL;passagem
CLT_186_in;MA;passagem
