vertice;s;UF;tipo;d;o
SUP_SP_01_in;sku_17;SP;origem;0;51115
SUP_SP_01_in;sku_18;SP;origem;0;4104
SUP_SP_01_in;sku_19;SP;origem;0;5863
SUP_SP_01_in;sku_20;SP;origem;0;52990
SUP_SP_01_in;sku_21;SP;origem;0;21187
SUP_SP_01_in;sku_60;SP;origem;0;7168
SUP_SP_01_in;sku_61;SP;origem;0;13725
SUP_SP_01_in;sku_93;SP;origem;0;2610
SUP_SP_01_in;sku_94;SP;origem;0;3690
SUP_SP_01_in;sku_95;SP;origem;0;2499
SUP_SP_01_in;sku_971;SP;origem;0;45920
SUP_SP_01_in;sku_972;SP;origem;0;19651
SUP_SP_01_in;sku_973;SP;origem;0;20969
SUP_SP_01_in;sku_974;SP;origem;0;17354
SUP_SP_01_in;sku_975;SP;origem;0;27844
SUP_SP_01_in;sku_976;SP;origem;0;44811
SUP_SP_01_in;sku_979;SP;origem;0;21474
SUP_SP_01_in;sku_983;SP;origem;0;50556
SUP_SP_01_in;sku_984;SP;origem;0;16999
SUP_SP_01_in;sku_985;SP;origem;0;11726
SUP_SP_01_in;sku_986;SP;origem;0;17963
SUP_SP_01_in;sku_987;SP;origem;0;24518
SUP_SP_01_in;sku_988;SP;origem;0;16274
SUP_SP_01_in;sku_989;SP;origem;0;23203
SUP_SP_01_in;sku_990;SP;origem;0;21949
SUP_SP_01_in;sku_993;SP;origem;0;22701
SUP_SP_01_in;sku_994;SP;origem;0;11561
SUP_SP_01_in;sku_995;SP;origem;0;5065
SUP_SP_01_in;sku_998;SP;origem;0;6957
SUP_SP_01_in;sku_999;SP;origem;0;6112
SUP_SP_01_in;sku_1000;SP;origem;0;29361
SUP_SP_01_in;sku_1001;SP;origem;0;74691
SUP_SP_01_in;sku_1002;SP;origem;0;78650
SUP_SP_01_in;sku_1003;SP;origem;0;23380
SUP_SP_01_in;sku_1004;SP;origem;0;1513
SUP_SP_01_in;sku_1005;SP;origem;0;1733
SUP_SP_01_in;sku_1006;SP;origem;0;1934
SUP_SP_01_in;sku_1007;SP;origem;0;21690
SUP_SP_01_in;sku_1008;SP;origem;0;14445
SUP_SP_01_in;sku_1009;SP;origem;0;21690
SUP_SP_01_in;sku_3000;SP;origem;0;3600
SUP_SP_01_in;sku_34066;SP;origem;0;81599
SUP_SP_01_in;sku_34085;SP;origem;0;13233
SUP_SP_01_in;sku_34086;SP;origem;0;4937
SUP_SP_01_in;sku_34087;SP;origem;0;1502
SUP_SP_01_in;sku_34090;SP;origem;0;110585
SUP_SP_01_in;sku_34091;SP;origem;0;30304
SUP_SP_01_in;sku_34093;SP;origem;0;38672
SUP_SP_01_in;sku_34098;SP;origem;0;3838
SUP_SP_01_in;sku_34130;SP;origem;0;1235
SUP_SP_01_in;sku_34132;SP;origem;0;4070
SUP_SP_01_in;sku_34133;SP;origem;0;20876
SUP_SP_01_in;sku_34134;SP;origem;0;16091
SUP_SP_01_in;sku_34135;SP;origem;0;40573
SUP_SP_01_in;sku_34136;SP;origem;0;3238
SUP_SP_01_in;sku_34138;SP;origem;0;22197
