org;dest;capacidade max;uf;uso
SUP_0_in;SUP_0_out;1e+06;PI;1
SUP_1_in;SUP_1_out;1e+06;MS;1
SUP_2_in;SUP_2_out;1e+06;GO;1
SUP_3_in;SUP_3_out;1e+06;AL;1
SUP_4_in;SUP_4_out;1e+06;SE;1
SUP_5_in;SUP_5_out;1e+06;CE;1
SUP_6_in;SUP_6_out;1e+06;AM;1
SUP_7_in;SUP_7_out;1e+06;PE;1
SUP_8_in;SUP_8_out;1e+06;PI;1
SUP_9_in;SUP_9_out;1e+06;MT;1
FAC_0_in;FAC_0_out;1e+06;BA;1
FAC_1_in;FAC_1_out;1e+06;PI;1
FAC_2_in;FAC_2_out;1e+06;AL;1
FAC_3_in;FAC_3_out;1e+06;RS;1
FAC_4_in;FAC_4_out;1e+06;PE;1
FAC_5_in;FAC_5_out;1e+06;SC;1
FAC_6_in;FAC_6_out;1e+06;RS;1
FAC_7_in;FAC_7_out;1e+06;SP;1
FAC_8_in;FAC_8_out;1e+06;MG;1
FAC_9_in;FAC_9_out;1e+06;RS;1
FLT_0_in;FLT_0_out;1e+06;PI;1
FLT_1_in;FLT_1_out;1e+06;RJ;0
FLT_2_in;FLT_2_out;1e+06;BA;1
FLT_3_in;FLT_3_out;1e+06;GO;1
FLT_4_in;FLT_4_out;1e+06;GO;1
FLT_5_in;FLT_5_out;1e+06;RJ;1
FLT_6_in;FLT_6_out;1e+06;AL;1
FLT_7_in;FLT_7_out;1e+06;AM;1
FLT_8_in;FLT_8_out;1e+06;AC;1
FLT_9_in;FLT_9_out;1e+06;MG;1
CLT_0_in;CLT_0_out;1e+06;AM;1
CLT_1_in;CLT_1_out;1e+06;AL;1
CLT_2_in;CLT_2_out;1e+06;MG;1
CLT_3_in;CLT_3_out;1e+06;PB;1
CLT_4_in;CLT_4_out;1e+06;RJ;1
CLT_5_in;CLT_5_out;1e+06;MA;1
CLT_6_in;CLT_6_out;1e+06;PE;1
CLT_7_in;CLT_7_out;1e+06;MT;1
CLT_8_in;CLT_8_out;1e+06;CE;1
CLT_9_in;CLT_9_out;1e+06;CE;1
CLT_10_in;CLT_10_out;1e+06;MS;1
CLT_11_in;CLT_11_out;1e+06;RS;1
CLT_12_in;CLT_12_out;1e+06;RO;1
CLT_13_in;CLT_13_out;1e+06;RO;1
CLT_14_in;CLT_14_out;1e+06;SE;1
CLT_15_in;CLT_15_out;1e+06;SC;1
CLT_16_in;CLT_16_out;1e+06;SC;1
CLT_17_in;CLT_17_out;1e+06;RO;1
CLT_18_in;CLT_18_out;1e+06;AC;1
CLT_19_in;CLT_19_out;1e+06;MS;1
CLT_20_in;CLT_20_out;1e+06;DF;1
CLT_21_in;CLT_21_out;1e+06;CE;1
CLT_22_in;CLT_22_out;1e+06;SC;1
CLT_23_in;CLT_23_out;1e+06;MS;1
CLT_24_in;CLT_24_out;1e+06;ES;1
CLT_25_in;CLT_25_out;1e+06;DF;1
CLT_26_in;CLT_26_out;1e+06;RS;1
CLT_27_in;CLT_27_out;1e+06;RJ;1
CLT_28_in;CLT_28_out;1e+06;PR;1
CLT_29_in;CLT_29_out;1e+06;PI;1
CLT_30_in;CLT_30_out;1e+06;RR;1
CLT_31_in;CLT_31_out;1e+06;AM;1
CLT_32_in;CLT_32_out;1e+06;MS;1
CLT_33_in;CLT_33_out;1e+06;MT;1
CLT_34_in;CLT_34_out;1e+06;PR;1
CLT_35_in;CLT_35_out;1e+06;SE;1
CLT_36_in;CLT_36_out;1e+06;BA;1
CLT_37_in;CLT_37_out;1e+06;GO;1
CLT_38_in;CLT_38_out;1e+06;DF;1
CLT_39_in;CLT_39_out;1e+06;RR;1
CLT_40_in;CLT_40_out;1e+06;PI;1
CLT_41_in;CLT_41_out;1e+06;AC;1
CLT_42_in;CLT_42_out;1e+06;CE;1
CLT_43_in;CLT_43_out;1e+06;MT;1
CLT_44_in;CLT_44_out;1e+06;DF;1
CLT_45_in;CLT_45_out;1e+06;AL;1
CLT_46_in;CLT_46_out;1e+06;AP;1
CLT_47_in;CLT_47_out;1e+06;PB;1
CLT_48_in;CLT_48_out;1e+06;MS;1
CLT_49_in;CLT_49_out;1e+06;MA;1
CLT_50_in;CLT_50_out;1e+06;MG;1
CLT_51_in;CLT_51_out;1e+06;RN;1
CLT_52_in;CLT_52_out;1e+06;PR;1
CLT_53_in;CLT_53_out;1e+06;PI;1
