org;dest;capacidade max;uf;uso
SUP_SP_01_in;SUP_SP_01_out;30000000;SP;1
SUP_SP_02_in;SUP_SP_02_out;30000000;SP;1
SUP_SC_01_in;SUP_SC_01_out;30000000;SC;1
SUP_SP_03_in;SUP_SP_03_out;30000000;SP;1
FAC_DF_in;FAC_DF_out;30000000;DF;0
FAC_GO_in;FAC_GO_out;30000000;GO;0
FAC_MS_in;FAC_MS_out;30000000;MS;0
FAC_MT_in;FAC_MT_out;30000000;MT;0
FAC_AL_in;FAC_AL_out;30000000;AL;0
FAC_BA_in;FAC_BA_out;30000000;BA;0
FAC_CE_in;FAC_CE_out;30000000;CE;0
FAC_MA_in;FAC_MA_out;30000000;MA;0
FAC_PB_in;FAC_PB_out;30000000;PB;0
FAC_PE_in;FAC_PE_out;30000000;PE;0
FAC_PI_in;FAC_PI_out;30000000;PI;0
FAC_RN_in;FAC_RN_out;30000000;RN;0
FAC_SE_in;FAC_SE_out;30000000;SE;0
FAC_TO_in;FAC_TO_out;30000000;TO;0
FAC_AC_in;FAC_AC_out;30000000;AC;0
FAC_AM_in;FAC_AM_out;30000000;AM;0
FAC_AP_in;FAC_AP_out;30000000;AP;0
FAC_PA_in;FAC_PA_out;30000000;PA;0
FAC_RO_in;FAC_RO_out;30000000;RO;0
FAC_RR_in;FAC_RR_out;30000000;RR;0
FAC_ES_in;FAC_ES_out;30000000;ES;0
FAC_MG_in;FAC_MG_out;30000000;MG;0
FAC_RJ_in;FAC_RJ_out;30000000;RJ;0
FAC_SP_in;FAC_SP_out;30000000;SP;1
FAC_PR_in;FAC_PR_out;30000000;PR;0
FAC_RS_in;FAC_RS_out;30000000;RS;0
FAC_SC_in;FAC_SC_out;30000000;SC;1
FLT_DF_in;FLT_DF_out;30000000;DF;0
FLT_GO_in;FLT_GO_out;30000000;GO;1
FLT_MS_in;FLT_MS_out;30000000;MS;0
FLT_MT_in;FLT_MT_out;30000000;MT;0
FLT_AL_in;FLT_AL_out;30000000;AL;0
FLT_BA_in;FLT_BA_out;30000000;BA;0
FLT_CE_in;FLT_CE_out;30000000;CE;0
FLT_MA_in;FLT_MA_out;30000000;MA;0
FLT_PB_in;FLT_PB_out;30000000;PB;0
FLT_PE_in;FLT_PE_out;30000000;PE;0
FLT_PI_in;FLT_PI_out;30000000;PI;0
FLT_RN_in;FLT_RN_out;30000000;RN;0
FLT_SE_in;FLT_SE_out;30000000;SE;0
FLT_TO_in;FLT_TO_out;30000000;TO;0
FLT_AC_in;FLT_AC_out;30000000;AC;0
FLT_AM_in;FLT_AM_out;30000000;AM;0
FLT_AP_in;FLT_AP_out;30000000;AP;0
FLT_PA_in;FLT_PA_out;30000000;PA;0
FLT_RO_in;FLT_RO_out;30000000;RO;0
FLT_RR_in;FLT_RR_out;30000000;RR;0
FLT_ES_in;FLT_ES_out;30000000;ES;0
FLT_MG_in;FLT_MG_out;30000000;MG;0
FLT_RJ_in;FLT_RJ_out;30000000;RJ;0
FLT_SP_in;FLT_SP_out;30000000;SP;1
FLT_PR_in;FLT_PR_out;30000000;PR;0
FLT_RS_in;FLT_RS_out;30000000;RS;0
FLT_SC_in;FLT_SC_out;30000000;SC;1
CLT_DF_in;CLT_DF_out;30000000;DF;1
CLT_GO_in;CLT_GO_out;30000000;GO;1
CLT_MS_in;CLT_MS_out;30000000;MS;1
CLT_MT_in;CLT_MT_out;30000000;MT;1
CLT_AL_in;CLT_AL_out;30000000;AL;1
CLT_BA_in;CLT_BA_out;30000000;BA;1
CLT_CE_in;CLT_CE_out;30000000;CE;1
CLT_MA_in;CLT_MA_out;30000000;MA;1
CLT_PB_in;CLT_PB_out;30000000;PB;1
CLT_PE_in;CLT_PE_out;30000000;PE;1
CLT_PI_in;CLT_PI_out;30000000;PI;1
CLT_RN_in;CLT_RN_out;30000000;RN;1
CLT_SE_in;CLT_SE_out;30000000;SE;1
CLT_TO_in;CLT_TO_out;30000000;TO;1
CLT_AC_in;CLT_AC_out;30000000;AC;1
CLT_AM_in;CLT_AM_out;30000000;AM;1
CLT_AP_in;CLT_AP_out;30000000;AP;1
CLT_PA_in;CLT_PA_out;30000000;PA;1
CLT_RO_in;CLT_RO_out;30000000;RO;1
CLT_RR_in;CLT_RR_out;30000000;RR;1
CLT_ES_in;CLT_ES_out;30000000;ES;1
CLT_MG_in;CLT_MG_out;30000000;MG;1
CLT_RJ_in;CLT_RJ_out;30000000;RJ;1
CLT_SP_in;CLT_SP_out;30000000;SP;1
CLT_PR_in;CLT_PR_out;30000000;PR;1
CLT_RS_in;CLT_RS_out;30000000;RS;1
CLT_SC_in;CLT_SC_out;30000000;SC;1
