vertice;s;UF;tipo;d;o
F_0_entrada;0;ES;origem;0;20
F_0_entrada;1;ES;origem;0;20
F_0_entrada;2;ES;origem;0;20
F_0_entrada;3;ES;origem;0;20
F_0_entrada;4;ES;origem;0;20
F_0_entrada;5;ES;origem;0;20
F_0_entrada;6;ES;origem;0;20
F_0_entrada;7;ES;origem;0;20
F_0_entrada;8;ES;origem;0;20
F_0_entrada;9;ES;origem;0;20
F_1_entrada;0;DF;origem;0;20
F_1_entrada;1;DF;origem;0;20
F_1_entrada;2;DF;origem;0;20
F_1_entrada;3;DF;origem;0;20
F_1_entrada;4;DF;origem;0;20
F_1_entrada;5;DF;origem;0;20
F_1_entrada;6;DF;origem;0;20
F_1_entrada;7;DF;origem;0;20
F_1_entrada;8;DF;origem;0;20
F_1_entrada;9;DF;origem;0;20
F_2_entrada;0;ES;origem;0;20
F_2_entrada;1;ES;origem;0;20
F_2_entrada;2;ES;origem;0;20
F_2_entrada;3;ES;origem;0;20
F_2_entrada;4;ES;origem;0;20
F_2_entrada;5;ES;origem;0;20
F_2_entrada;6;ES;origem;0;20
F_2_entrada;7;ES;origem;0;20
F_2_entrada;8;ES;origem;0;20
F_2_entrada;9;ES;origem;0;20
F_3_entrada;0;SE;origem;0;20
F_3_entrada;1;SE;origem;0;20
F_3_entrada;2;SE;origem;0;20
F_3_entrada;3;SE;origem;0;20
F_3_entrada;4;SE;origem;0;20
F_3_entrada;5;SE;origem;0;20
F_3_entrada;6;SE;origem;0;20
F_3_entrada;7;SE;origem;0;20
F_3_entrada;8;SE;origem;0;20
F_3_entrada;9;SE;origem;0;20
F_4_entrada;0;PB;origem;0;20
F_4_entrada;1;PB;origem;0;20
F_4_entrada;2;PB;origem;0;20
F_4_entrada;3;PB;origem;0;20
F_4_entrada;4;PB;origem;0;20
F_4_entrada;5;PB;origem;0;20
F_4_entrada;6;PB;origem;0;20
F_4_entrada;7;PB;origem;0;20
F_4_entrada;8;PB;origem;0;20
F_4_entrada;9;PB;origem;0;20
CD_0_entrada;0;BA;passagem;0;0
CD_0_entrada;1;BA;passagem;0;0
CD_0_entrada;2;BA;passagem;0;0
CD_0_entrada;3;BA;passagem;0;0
CD_0_entrada;4;BA;passagem;0;0
CD_0_entrada;5;BA;passagem;0;0
CD_0_entrada;6;BA;passagem;0;0
CD_0_entrada;7;BA;passagem;0;0
CD_0_entrada;8;BA;passagem;0;0
CD_0_entrada;9;BA;passagem;0;0
CD_1_entrada;0;CE;passagem;0;0
CD_1_entrada;1;CE;passagem;0;0
CD_1_entrada;2;CE;passagem;0;0
CD_1_entrada;3;CE;passagem;0;0
CD_1_entrada;4;CE;passagem;0;0
CD_1_entrada;5;CE;passagem;0;0
CD_1_entrada;6;CE;passagem;0;0
CD_1_entrada;7;CE;passagem;0;0
CD_1_entrada;8;CE;passagem;0;0
CD_1_entrada;9;CE;passagem;0;0
CD_2_entrada;0;DF;passagem;0;0
CD_2_entrada;1;DF;passagem;0;0
CD_2_entrada;2;DF;passagem;0;0
CD_2_entrada;3;DF;passagem;0;0
CD_2_entrada;4;DF;passagem;0;0
CD_2_entrada;5;DF;passagem;0;0
CD_2_entrada;6;DF;passagem;0;0
CD_2_entrada;7;DF;passagem;0;0
CD_2_entrada;8;DF;passagem;0;0
CD_2_entrada;9;DF;passagem;0;0
CD_3_entrada;0;PR;passagem;0;0
CD_3_entrada;1;PR;passagem;0;0
CD_3_entrada;2;PR;passagem;0;0
CD_3_entrada;3;PR;passagem;0;0
CD_3_entrada;4;PR;passagem;0;0
CD_3_entrada;5;PR;passagem;0;0
CD_3_entrada;6;PR;passagem;0;0
CD_3_entrada;7;PR;passagem;0;0
CD_3_entrada;8;PR;passagem;0;0
CD_3_entrada;9;PR;passagem;0;0
CD_4_entrada;0;AC;passagem;0;0
CD_4_entrada;1;AC;passagem;0;0
CD_4_entrada;2;AC;passagem;0;0
CD_4_entrada;3;AC;passagem;0;0
CD_4_entrada;4;AC;passagem;0;0
CD_4_entrada;5;AC;passagem;0;0
CD_4_entrada;6;AC;passagem;0;0
CD_4_entrada;7;AC;passagem;0;0
CD_4_entrada;8;AC;passagem;0;0
CD_4_entrada;9;AC;passagem;0;0
