tipo_de_arco,i,j,s,a,b,c,m,n
transporte,1,2,0,14647,56,1000,0,0
transporte,1,8,0,14647,56,1000,0,0
transporte,2,3,0,14647,45,1000,0,0
transporte,2,7,0,14647,77,1000,0,0
transporte,2,9,0,14647,77,1000,0,0
transporte,3,1,0,14647,77,1000,0,0
transporte,3,2,0,14647,77,1000,0,0
transporte,3,4,0,14647,77,1000,0,0
transporte,3,6,0,14647,77,1000,0,0
transporte,4,5,0,14647,77,1000,0,0
transporte,5,2,0,14647,77,1000,0,0
transporte,6,4,0,14647,77,1000,0,0
transporte,8,9,0,14647,77,1000,0,0
transporte,9,8,0,14647,77,1000,0,0
