tipo_de_arco,i,j,s,a,b,c,m,n
localidade,F_0_entrada,F_0_saida,0,14647,56,1000.0,0,0
localidade,F_0_entrada,F_0_saida,1,14647,45,1000.0,0,0
localidade,F_0_entrada,F_0_saida,2,14647,77,1000.0,0,0
localidade,F_0_entrada,F_0_saida,3,14647,82,1000.0,0,0
localidade,F_0_entrada,F_0_saida,4,14647,47,1000.0,0,0
localidade,F_0_entrada,F_0_saida,5,14647,40,1000.0,0,0
localidade,F_0_entrada,F_0_saida,6,14647,97,1000.0,0,0
localidade,F_0_entrada,F_0_saida,7,14647,77,1000.0,0,0
localidade,F_0_entrada,F_0_saida,8,14647,82,1000.0,0,0
localidade,F_0_entrada,F_0_saida,9,14647,24,1000.0,0,0
localidade,F_1_entrada,F_1_saida,0,61263,93,1000.0,0,0
localidade,F_1_entrada,F_1_saida,1,61263,49,1000.0,0,0
localidade,F_1_entrada,F_1_saida,2,61263,80,1000.0,0,0
localidade,F_1_entrada,F_1_saida,3,61263,35,1000.0,0,0
localidade,F_1_entrada,F_1_saida,4,61263,79,1000.0,0,0
localidade,F_1_entrada,F_1_saida,5,61263,43,1000.0,0,0
localidade,F_1_entrada,F_1_saida,6,61263,70,1000.0,0,0
localidade,F_1_entrada,F_1_saida,7,61263,54,1000.0,0,0
localidade,F_1_entrada,F_1_saida,8,61263,99,1000.0,0,0
localidade,F_1_entrada,F_1_saida,9,61263,54,1000.0,0,0
localidade,F_2_entrada,F_2_saida,0,95843,46,1000.0,0,0
localidade,F_2_entrada,F_2_saida,1,95843,60,1000.0,0,0
localidade,F_2_entrada,F_2_saida,2,95843,44,1000.0,0,0
localidade,F_2_entrada,F_2_saida,3,95843,56,1000.0,0,0
localidade,F_2_entrada,F_2_saida,4,95843,64,1000.0,0,0
localidade,F_2_entrada,F_2_saida,5,95843,10,1000.0,0,0
localidade,F_2_entrada,F_2_saida,6,95843,71,1000.0,0,0
localidade,F_2_entrada,F_2_saida,7,95843,82,1000.0,0,0
localidade,F_2_entrada,F_2_saida,8,95843,20,1000.0,0,0
localidade,F_2_entrada,F_2_saida,9,95843,78,1000.0,0,0
localidade,F_3_entrada,F_3_saida,0,39639,50,1000.0,0,0
localidade,F_3_entrada,F_3_saida,1,39639,40,1000.0,0,0
localidade,F_3_entrada,F_3_saida,2,39639,96,1000.0,0,0
localidade,F_3_entrada,F_3_saida,3,39639,34,1000.0,0,0
localidade,F_3_entrada,F_3_saida,4,39639,80,1000.0,0,0
localidade,F_3_entrada,F_3_saida,5,39639,95,1000.0,0,0
localidade,F_3_entrada,F_3_saida,6,39639,41,1000.0,0,0
localidade,F_3_entrada,F_3_saida,7,39639,40,1000.0,0,0
localidade,F_3_entrada,F_3_saida,8,39639,33,1000.0,0,0
localidade,F_3_entrada,F_3_saida,9,39639,12,1000.0,0,0
localidade,F_4_entrada,F_4_saida,0,86817,45,1000.0,0,0
localidade,F_4_entrada,F_4_saida,1,86817,74,1000.0,0,0
localidade,F_4_entrada,F_4_saida,2,86817,71,1000.0,0,0
localidade,F_4_entrada,F_4_saida,3,86817,95,1000.0,0,0
localidade,F_4_entrada,F_4_saida,4,86817,91,1000.0,0,0
