vertice,s,UF,tipo,d,o
F_0_entrada,0,AC,origem,0,20
F_0_entrada,1,AC,origem,0,20
F_0_entrada,2,AC,origem,0,20
F_0_entrada,3,AC,origem,0,20
F_0_entrada,4,AC,origem,0,20
F_0_entrada,5,AC,origem,0,20
F_0_entrada,6,AC,origem,0,20
F_0_entrada,7,AC,origem,0,20
F_0_entrada,8,AC,origem,0,20
F_0_entrada,9,AC,origem,0,20
F_1_entrada,0,MT,origem,0,20
F_1_entrada,1,MT,origem,0,20
F_1_entrada,2,MT,origem,0,20
F_1_entrada,3,MT,origem,0,20
F_1_entrada,4,MT,origem,0,20
F_1_entrada,5,MT,origem,0,20
F_1_entrada,6,MT,origem,0,20
F_1_entrada,7,MT,origem,0,20
F_1_entrada,8,MT,origem,0,20
F_1_entrada,9,MT,origem,0,20
F_2_entrada,0,RS,origem,0,20
F_2_entrada,1,RS,origem,0,20
F_2_entrada,2,RS,origem,0,20
F_2_entrada,3,RS,origem,0,20
F_2_entrada,4,RS,origem,0,20
F_2_entrada,5,RS,origem,0,20
F_2_entrada,6,RS,origem,0,20
F_2_entrada,7,RS,origem,0,20
F_2_entrada,8,RS,origem,0,20
F_2_entrada,9,RS,origem,0,20
F_3_entrada,0,ES,origem,0,20
F_3_entrada,1,ES,origem,0,20
F_3_entrada,2,ES,origem,0,20
F_3_entrada,3,ES,origem,0,20
F_3_entrada,4,ES,origem,0,20
F_3_entrada,5,ES,origem,0,20
F_3_entrada,6,ES,origem,0,20
F_3_entrada,7,ES,origem,0,20
F_3_entrada,8,ES,origem,0,20
F_3_entrada,9,ES,origem,0,20
F_4_entrada,0,PR,origem,0,20
F_4_entrada,1,PR,origem,0,20
F_4_entrada,2,PR,origem,0,20
F_4_entrada,3,PR,origem,0,20
F_4_entrada,4,PR,origem,0,20
F_4_entrada,5,PR,origem,0,20
F_4_entrada,6,PR,origem,0,20
F_4_entrada,7,PR,origem,0,20
F_4_entrada,8,PR,origem,0,20
F_4_entrada,9,PR,origem,0,20
CD_0_entrada,0,PA,passagem,0,0
CD_0_entrada,1,PA,passagem,0,0
CD_0_entrada,2,PA,passagem,0,0
CD_0_entrada,3,PA,passagem,0,0
CD_0_entrada,4,PA,passagem,0,0
CD_0_entrada,5,PA,passagem,0,0
CD_0_entrada,6,PA,passagem,0,0
CD_0_entrada,7,PA,passagem,0,0
CD_0_entrada,8,PA,passagem,0,0
CD_0_entrada,9,PA,passagem,0,0
CD_1_entrada,0,AC,passagem,0,0
CD_1_entrada,1,AC,passagem,0,0
CD_1_entrada,2,AC,passagem,0,0
CD_1_entrada,3,AC,passagem,0,0
CD_1_entrada,4,AC,passagem,0,0
CD_1_entrada,5,AC,passagem,0,0
CD_1_entrada,6,AC,passagem,0,0
CD_1_entrada,7,AC,passagem,0,0
CD_1_entrada,8,AC,passagem,0,0
CD_1_entrada,9,AC,passagem,0,0
CD_2_entrada,0,RO,passagem,0,0
CD_2_entrada,1,RO,passagem,0,0
CD_2_entrada,2,RO,passagem,0,0
CD_2_entrada,3,RO,passagem,0,0
CD_2_entrada,4,RO,passagem,0,0
CD_2_entrada,5,RO,passagem,0,0
CD_2_entrada,6,RO,passagem,0,0
CD_2_entrada,7,RO,passagem,0,0
CD_2_entrada,8,RO,passagem,0,0
CD_2_entrada,9,RO,passagem,0,0
CD_3_entrada,0,AM,passagem,0,0
CD_3_entrada,1,AM,passagem,0,0
CD_3_entrada,2,AM,passagem,0,0
CD_3_entrada,3,AM,passagem,0,0
CD_3_entrada,4,AM,passagem,0,0
CD_3_entrada,5,AM,passagem,0,0
CD_3_entrada,6,AM,passagem,0,0
CD_3_entrada,7,AM,passagem,0,0
CD_3_entrada,8,AM,passagem,0,0
CD_3_entrada,9,AM,passagem,0,0
CD_4_entrada,0,RN,passagem,0,0
CD_4_entrada,1,RN,passagem,0,0
CD_4_entrada,2,RN,passagem,0,0
CD_4_entrada,3,RN,passagem,0,0
CD_4_entrada,4,RN,passagem,0,0
CD_4_entrada,5,RN,passagem,0,0
CD_4_entrada,6,RN,passagem,0,0
CD_4_entrada,7,RN,passagem,0,0
CD_4_entrada,8,RN,passagem,0,0
CD_4_entrada,9,RN,passagem,0,0
C_0_entrada,0,MA,passagem,0,0
C_0_entrada,1,MA,passagem,0,0
C_0_entrada,2,MA,passagem,0,0
C_0_entrada,3,MA,passagem,0,0
C_0_entrada,4,MA,passagem,0,0
C_0_entrada,5,MA,passagem,0,0
C_0_entrada,6,MA,passagem,0,0
C_0_entrada,7,MA,passagem,0,0
C_0_entrada,8,MA,passagem,0,0
C_0_entrada,9,MA,passagem,0,0
C_1_entrada,0,AM,passagem,0,0
C_1_entrada,1,AM,passagem,0,0
C_1_entrada,2,AM,passagem,0,0
C_1_entrada,3,AM,passagem,0,0
C_1_entrada,4,AM,passagem,0,0
C_1_entrada,5,AM,passagem,0,0
C_1_entrada,6,AM,passagem,0,0
C_1_entrada,7,AM,passagem,0,0
C_1_entrada,8,AM,passagem,0,0
C_1_entrada,9,AM,passagem,0,0
C_2_entrada,0,GO,passagem,0,0
C_2_entrada,1,GO,passagem,0,0
C_2_entrada,2,GO,passagem,0,0
C_2_entrada,3,GO,passagem,0,0
C_2_entrada,4,GO,passagem,0,0
C_2_entrada,5,GO,passagem,0,0
C_2_entrada,6,GO,passagem,0,0
C_2_entrada,7,GO,passagem,0,0
C_2_entrada,8,GO,passagem,0,0
C_2_entrada,9,GO,passagem,0,0
C_3_entrada,0,DF,passagem,0,0
C_3_entrada,1,DF,passagem,0,0
C_3_entrada,2,DF,passagem,0,0
C_3_entrada,3,DF,passagem,0,0
C_3_entrada,4,DF,passagem,0,0
C_3_entrada,5,DF,passagem,0,0
C_3_entrada,6,DF,passagem,0,0
C_3_entrada,7,DF,passagem,0,0
C_3_entrada,8,DF,passagem,0,0
C_3_entrada,9,DF,passagem,0,0
C_4_entrada,0,PI,passagem,0,0
C_4_entrada,1,PI,passagem,0,0
