vertice,UF,tipo
F_0_entrada,AC,origem
F_1_entrada,MT,origem
F_2_entrada,RS,origem
F_3_entrada,ES,origem
F_4_entrada,PR,origem
CD_0_entrada,PA,passagem
CD_1_entrada,AC,passagem
CD_2_entrada,RO,passagem
CD_3_entrada,AM,passagem
CD_4_entrada,RN,passagem
C_0_entrada,MA,passagem
C_1_entrada,AM,passagem
C_2_entrada,GO,passagem
C_3_entrada,DF,passagem
C_4_entrada,PI,passagem
C_5_entrada,CE,passagem
C_6_entrada,DF,passagem
C_7_entrada,AC,passagem
C_8_entrada,GO,passagem
C_9_entrada,PA,passagem
C_10_entrada,SP,passagem
C_11_entrada,PI,passagem
C_12_entrada,BA,passagem
C_13_entrada,SE,passagem
C_14_entrada,RN,passagem
C_15_entrada,MA,passagem
C_16_entrada,CE,passagem
C_17_entrada,DF,passagem
C_18_entrada,RR,passagem
C_19_entrada,MT,passagem
F_0_saida,AC,passagem
F_1_saida,MT,passagem
F_2_saida,RS,passagem
F_3_saida,ES,passagem
F_4_saida,PR,passagem
CD_0_saida,PA,passagem
CD_1_saida,AC,passagem
CD_2_saida,RO,passagem
CD_3_saida,AM,passagem
CD_4_saida,RN,passagem
C_0_saida,MA,demanda
C_1_saida,AM,demanda
C_2_saida,GO,demanda
C_3_saida,DF,demanda
C_4_saida,PI,demanda
C_5_saida,CE,demanda
C_6_saida,DF,demanda
C_7_saida,AC,demanda
C_8_saida,GO,demanda
C_9_saida,PA,demanda
C_10_saida,SP,demanda
C_11_saida,PI,demanda
C_12_saida,BA,demanda
C_13_saida,SE,demanda
C_14_saida,RN,demanda
C_15_saida,MA,demanda
C_16_saida,CE,demanda
C_17_saida,DF,demanda
C_18_saida,RR,demanda
C_19_saida,MT,demanda
