vertice,UF,tipo
SUP_0_in,CE,origem
SUP_1_in,CE,origem
SUP_2_in,GO,origem
SUP_3_in,RO,origem
SUP_4_in,SP,origem
SUP_5_in,TO,origem
SUP_6_in,SC,origem
SUP_7_in,SP,origem
SUP_8_in,MG,origem
SUP_9_in,AM,origem
FAC_0_in,GO,passagem
FAC_1_in,PE,passagem
FAC_2_in,AM,passagem
FAC_3_in,AC,passagem
FAC_4_in,PI,passagem
FAC_5_in,SP,passagem
FAC_6_in,RS,passagem
FAC_7_in,MA,passagem
FAC_8_in,AL,passagem
FAC_9_in,SC,passagem
FLT_0_in,MA,passagem
FLT_1_in,PI,passagem
FLT_2_in,AP,passagem
FLT_3_in,CE,passagem
FLT_4_in,RS,passagem
FLT_5_in,AC,passagem
FLT_6_in,TO,passagem
FLT_7_in,SE,passagem
FLT_8_in,AL,passagem
FLT_9_in,BA,passagem
CLT_0_in,GO,passagem
CLT_1_in,MS,passagem
CLT_2_in,RN,passagem
CLT_3_in,MG,passagem
CLT_4_in,RS,passagem
CLT_5_in,CE,passagem
CLT_6_in,MS,passagem
CLT_7_in,MG,passagem
CLT_8_in,ES,passagem
CLT_9_in,SE,passagem
CLT_10_in,GO,passagem
CLT_11_in,SE,passagem
CLT_12_in,GO,passagem
CLT_13_in,PE,passagem
CLT_14_in,SP,passagem
CLT_15_in,TO,passagem
CLT_16_in,PA,passagem
CLT_17_in,PB,passagem
CLT_18_in,BA,passagem
CLT_19_in,TO,passagem
CLT_20_in,MA,passagem
CLT_21_in,ES,passagem
CLT_22_in,RO,passagem
CLT_23_in,AP,passagem
CLT_24_in,RO,passagem
CLT_25_in,AP,passagem
CLT_26_in,GO,passagem
CLT_27_in,BA,passagem
CLT_28_in,PE,passagem
CLT_29_in,MT,passagem
CLT_30_in,RR,passagem
CLT_31_in,PI,passagem
CLT_32_in,MA,passagem
CLT_33_in,PA,passagem
CLT_34_in,RS,passagem
CLT_35_in,RN,passagem
CLT_36_in,MG,passagem
CLT_37_in,RJ,passagem
CLT_38_in,SE,passagem
CLT_39_in,RJ,passagem
CLT_40_in,CE,passagem
CLT_41_in,MT,passagem
CLT_42_in,AC,passagem
CLT_43_in,SP,passagem
CLT_44_in,DF,passagem
CLT_45_in,PR,passagem
CLT_46_in,MS,passagem
CLT_47_in,MS,passagem
CLT_48_in,TO,passagem
CLT_49_in,PA,passagem
CLT_50_in,RS,passagem
CLT_51_in,MA,passagem
CLT_52_in,SE,passagem
CLT_53_in,RS,passagem
CLT_54_in,MA,passagem
CLT_55_in,AC,passagem
CLT_56_in,RN,passagem
CLT_57_in,PI,passagem
CLT_58_in,MT,passagem
CLT_59_in,PR,passagem
CLT_60_in,RO,passagem
CLT_61_in,ES,passagem
CLT_62_in,SC,passagem
CLT_63_in,PI,passagem
CLT_64_in,MT,passagem
CLT_65_in,RO,passagem
CLT_66_in,AC,passagem
CLT_67_in,PE,passagem
CLT_68_in,GO,passagem
CLT_69_in,PR,passagem
CLT_70_in,AC,passagem
CLT_71_in,AC,passagem
CLT_72_in,RO,passagem
CLT_73_in,TO,passagem
CLT_74_in,PE,passagem
CLT_75_in,PR,passagem
CLT_76_in,SC,passagem
CLT_77_in,RO,passagem
CLT_78_in,PE,passagem
CLT_79_in,PR,passagem
CLT_80_in,RN,passagem
CLT_81_in,MA,passagem
CLT_82_in,CE,passagem
CLT_83_in,MG,passagem
CLT_84_in,CE,passagem
CLT_85_in,CE,passagem
CLT_86_in,BA,passagem
CLT_87_in,TO,passagem
CLT_88_in,CE,passagem
CLT_89_in,ES,passagem
CLT_90_in,PR,passagem
CLT_91_in,AM,passagem
CLT_92_in,GO,passagem
CLT_93_in,SP,passagem
CLT_94_in,SP,passagem
CLT_95_in,AM,passagem
CLT_96_in,RS,passagem
CLT_97_in,ES,passagem
CLT_98_in,SE,passagem
CLT_99_in,MG,passagem
CLT_100_in,MT,passagem
CLT_101_in,AL,passagem
CLT_102_in,SC,passagem
CLT_103_in,RJ,passagem
CLT_104_in,PA,passagem
CLT_105_in,RJ,passagem
CLT_106_in,PA,passagem
CLT_107_in,PA,passagem
CLT_108_in,CE,passagem
CLT_109_in,RN,passagem
CLT_110_in,TO,passagem
CLT_111_in,RO,passagem
CLT_112_in,RN,passagem
CLT_113_in,TO,passagem
CLT_114_in,PR,passagem
