tipo_de_arco,i,j,s,a,b,c,m,n
localidade,F_0_entrada,F_0_saida,0,94993,89,1000.0,0,0
localidade,F_0_entrada,F_0_saida,1,94993,21,1000.0,0,0
localidade,F_0_entrada,F_0_saida,2,94993,22,1000.0,0,0
localidade,F_0_entrada,F_0_saida,3,94993,69,1000.0,0,0
localidade,F_0_entrada,F_0_saida,4,94993,35,1000.0,0,0
localidade,F_0_entrada,F_0_saida,5,94993,31,1000.0,0,0
localidade,F_0_entrada,F_0_saida,6,94993,94,1000.0,0,0
localidade,F_0_entrada,F_0_saida,7,94993,25,1000.0,0,0
localidade,F_0_entrada,F_0_saida,8,94993,39,1000.0,0,0
localidade,F_0_entrada,F_0_saida,9,94993,47,1000.0,0,0
localidade,F_1_entrada,F_1_saida,0,61260,41,1000.0,0,0
localidade,F_1_entrada,F_1_saida,1,61260,63,1000.0,0,0
localidade,F_1_entrada,F_1_saida,2,61260,71,1000.0,0,0
localidade,F_1_entrada,F_1_saida,3,61260,58,1000.0,0,0
localidade,F_1_entrada,F_1_saida,4,61260,95,1000.0,0,0
localidade,F_1_entrada,F_1_saida,5,61260,35,1000.0,0,0
localidade,F_1_entrada,F_1_saida,6,61260,63,1000.0,0,0
localidade,F_1_entrada,F_1_saida,7,61260,23,1000.0,0,0
localidade,F_1_entrada,F_1_saida,8,61260,55,1000.0,0,0
localidade,F_1_entrada,F_1_saida,9,61260,85,1000.0,0,0
localidade,F_2_entrada,F_2_saida,0,19909,45,1000.0,0,0
localidade,F_2_entrada,F_2_saida,1,19909,20,1000.0,0,0
localidade,F_2_entrada,F_2_saida,2,19909,65,1000.0,0,0
localidade,F_2_entrada,F_2_saida,3,19909,51,1000.0,0,0
localidade,F_2_entrada,F_2_saida,4,19909,18,1000.0,0,0
localidade,F_2_entrada,F_2_saida,5,19909,28,1000.0,0,0
localidade,F_2_entrada,F_2_saida,6,19909,10,1000.0,0,0
localidade,F_2_entrada,F_2_saida,7,19909,14,1000.0,0,0
