vertice,UF,tipo
F_0_entrada,ES,origem
F_1_entrada,DF,origem
F_2_entrada,ES,origem
F_3_entrada,SE,origem
F_4_entrada,PB,origem
CD_0_entrada,BA,passagem
CD_1_entrada,CE,passagem
CD_2_entrada,DF,passagem
CD_3_entrada,PR,passagem
CD_4_entrada,AC,passagem
C_0_entrada,MS,passagem
C_1_entrada,MS,passagem
C_2_entrada,PR,passagem
C_3_entrada,RS,passagem
C_4_entrada,PA,passagem
C_5_entrada,MA,passagem
C_6_entrada,RN,passagem
C_7_entrada,RS,passagem
C_8_entrada,PB,passagem
C_9_entrada,TO,passagem
C_10_entrada,RS,passagem
C_11_entrada,PR,passagem
C_12_entrada,RR,passagem
C_13_entrada,CE,passagem
C_14_entrada,DF,passagem
C_15_entrada,AP,passagem
C_16_entrada,MS,passagem
C_17_entrada,RO,passagem
C_18_entrada,DF,passagem
C_19_entrada,AC,passagem
F_0_saida,ES,passagem
F_1_saida,DF,passagem
F_2_saida,ES,passagem
F_3_saida,SE,passagem
F_4_saida,PB,passagem
CD_0_saida,BA,passagem
CD_1_saida,CE,passagem
CD_2_saida,DF,passagem
CD_3_saida,PR,passagem
CD_4_saida,AC,passagem
C_0_saida,MS,demanda
C_1_saida,MS,demanda
C_2_saida,PR,demanda
C_3_saida,RS,demanda
C_4_saida,PA,demanda
C_5_saida,MA,demanda
C_6_saida,RN,demanda
C_7_saida,RS,demanda
C_8_saida,PB,demanda
C_9_saida,TO,demanda
C_10_saida,RS,demanda
C_11_saida,PR,demanda
C_12_saida,RR,demanda
C_13_saida,CE,demanda
C_14_saida,DF,demanda
C_15_saida,AP,demanda
C_16_saida,MS,demanda
C_17_saida,RO,demanda
C_18_saida,DF,demanda
C_19_saida,AC,demanda
