vertice,UF,tipo
F_0_entrada,SC,origem
F_1_entrada,AP,origem
F_2_entrada,AL,origem
F_3_entrada,TO,origem
F_4_entrada,TO,origem
CD_0_entrada,AL,passagem
CD_1_entrada,RO,passagem
CD_2_entrada,PR,passagem
CD_3_entrada,SC,passagem
CD_4_entrada,SC,passagem
C_0_entrada,PR,passagem
C_1_entrada,RS,passagem
C_2_entrada,MG,passagem
C_3_entrada,PR,passagem
C_4_entrada,AL,passagem
C_5_entrada,SC,passagem
C_6_entrada,TO,passagem
C_7_entrada,MS,passagem
C_8_entrada,AC,passagem
C_9_entrada,MT,passagem
C_10_entrada,PE,passagem
C_11_entrada,RO,passagem
C_12_entrada,RN,passagem
C_13_entrada,MG,passagem
C_14_entrada,PI,passagem
C_15_entrada,PR,passagem
C_16_entrada,PA,passagem
C_17_entrada,RJ,passagem
C_18_entrada,RN,passagem
C_19_entrada,PI,passagem
F_0_saida,SC,passagem
F_1_saida,AP,passagem
F_2_saida,AL,passagem
F_3_saida,TO,passagem
F_4_saida,TO,passagem
CD_0_saida,AL,passagem
CD_1_saida,RO,passagem
CD_2_saida,PR,passagem
CD_3_saida,SC,passagem
CD_4_saida,SC,passagem
C_0_saida,PR,demanda
C_1_saida,RS,demanda
C_2_saida,MG,demanda
C_3_saida,PR,demanda
C_4_saida,AL,demanda
C_5_saida,SC,demanda
C_6_saida,TO,demanda
C_7_saida,MS,demanda
C_8_saida,AC,demanda
C_9_saida,MT,demanda
C_10_saida,PE,demanda
C_11_saida,RO,demanda
C_12_saida,RN,demanda
C_13_saida,MG,demanda
C_14_saida,PI,demanda
C_15_saida,PR,demanda
C_16_saida,PA,demanda
C_17_saida,RJ,demanda
C_18_saida,RN,demanda
C_19_saida,PI,demanda
