vertice,s,UF,tipo,d,o
F_0_entrada,0,SC,origem,0,20
F_0_entrada,1,SC,origem,0,20
F_0_entrada,2,SC,origem,0,20
F_0_entrada,3,SC,origem,0,20
F_0_entrada,4,SC,origem,0,20
F_0_entrada,5,SC,origem,0,20
F_0_entrada,6,SC,origem,0,20
F_0_entrada,7,SC,origem,0,20
F_0_entrada,8,SC,origem,0,20
F_0_entrada,9,SC,origem,0,20
F_1_entrada,0,AP,origem,0,20
F_1_entrada,1,AP,origem,0,20
F_1_entrada,2,AP,origem,0,20
F_1_entrada,3,AP,origem,0,20
F_1_entrada,4,AP,origem,0,20
F_1_entrada,5,AP,origem,0,20
F_1_entrada,6,AP,origem,0,20
F_1_entrada,7,AP,origem,0,20
F_1_entrada,8,AP,origem,0,20
F_1_entrada,9,AP,origem,0,20
F_2_entrada,0,AL,origem,0,20
F_2_entrada,1,AL,origem,0,20
F_2_entrada,2,AL,origem,0,20
F_2_entrada,3,AL,origem,0,20
F_2_entrada,4,AL,origem,0,20
F_2_entrada,5,AL,origem,0,20
F_2_entrada,6,AL,origem,0,20
F_2_entrada,7,AL,origem,0,20
F_2_entrada,8,AL,origem,0,20
F_2_entrada,9,AL,origem,0,20
F_3_entrada,0,TO,origem,0,20
F_3_entrada,1,TO,origem,0,20
F_3_entrada,2,TO,origem,0,20
F_3_entrada,3,TO,origem,0,20
F_3_entrada,4,TO,origem,0,20
F_3_entrada,5,TO,origem,0,20
F_3_entrada,6,TO,origem,0,20
F_3_entrada,7,TO,origem,0,20
F_3_entrada,8,TO,origem,0,20
F_3_entrada,9,TO,origem,0,20
F_4_entrada,0,TO,origem,0,20
F_4_entrada,1,TO,origem,0,20
F_4_entrada,2,TO,origem,0,20
F_4_entrada,3,TO,origem,0,20
F_4_entrada,4,TO,origem,0,20
F_4_entrada,5,TO,origem,0,20
F_4_entrada,6,TO,origem,0,20
F_4_entrada,7,TO,origem,0,20
F_4_entrada,8,TO,origem,0,20
F_4_entrada,9,TO,origem,0,20
CD_0_entrada,0,AL,passagem,0,0
CD_0_entrada,1,AL,passagem,0,0
CD_0_entrada,2,AL,passagem,0,0
CD_0_entrada,3,AL,passagem,0,0
CD_0_entrada,4,AL,passagem,0,0
CD_0_entrada,5,AL,passagem,0,0
CD_0_entrada,6,AL,passagem,0,0
CD_0_entrada,7,AL,passagem,0,0
CD_0_entrada,8,AL,passagem,0,0
CD_0_entrada,9,AL,passagem,0,0
CD_1_entrada,0,RO,passagem,0,0
CD_1_entrada,1,RO,passagem,0,0
CD_1_entrada,2,RO,passagem,0,0
CD_1_entrada,3,RO,passagem,0,0
CD_1_entrada,4,RO,passagem,0,0
CD_1_entrada,5,RO,passagem,0,0
CD_1_entrada,6,RO,passagem,0,0
CD_1_entrada,7,RO,passagem,0,0
CD_1_entrada,8,RO,passagem,0,0
CD_1_entrada,9,RO,passagem,0,0
CD_2_entrada,0,PR,passagem,0,0
CD_2_entrada,1,PR,passagem,0,0
CD_2_entrada,2,PR,passagem,0,0
CD_2_entrada,3,PR,passagem,0,0
CD_2_entrada,4,PR,passagem,0,0
CD_2_entrada,5,PR,passagem,0,0
CD_2_entrada,6,PR,passagem,0,0
CD_2_entrada,7,PR,passagem,0,0
CD_2_entrada,8,PR,passagem,0,0
CD_2_entrada,9,PR,passagem,0,0
CD_3_entrada,0,SC,passagem,0,0
CD_3_entrada,1,SC,passagem,0,0
CD_3_entrada,2,SC,passagem,0,0
CD_3_entrada,3,SC,passagem,0,0
CD_3_entrada,4,SC,passagem,0,0
CD_3_entrada,5,SC,passagem,0,0
CD_3_entrada,6,SC,passagem,0,0
CD_3_entrada,7,SC,passagem,0,0
CD_3_entrada,8,SC,passagem,0,0
CD_3_entrada,9,SC,passagem,0,0
CD_4_entrada,0,SC,passagem,0,0
CD_4_entrada,1,SC,passagem,0,0
CD_4_entrada,2,SC,passagem,0,0
CD_4_entrada,3,SC,passagem,0,0
CD_4_entrada,4,SC,passagem,0,0
CD_4_entrada,5,SC,passagem,0,0
CD_4_entrada,6,SC,passagem,0,0
CD_4_entrada,7,SC,passagem,0,0
CD_4_entrada,8,SC,passagem,0,0
CD_4_entrada,9,SC,passagem,0,0
C_0_entrada,0,PR,passagem,0,0
C_0_entrada,1,PR,passagem,0,0
C_0_entrada,2,PR,passagem,0,0
C_0_entrada,3,PR,passagem,0,0
C_0_entrada,4,PR,passagem,0,0
C_0_entrada,5,PR,passagem,0,0
C_0_entrada,6,PR,passagem,0,0
C_0_entrada,7,PR,passagem,0,0
C_0_entrada,8,PR,passagem,0,0
C_0_entrada,9,PR,passagem,0,0
C_1_entrada,0,RS,passagem,0,0
C_1_entrada,1,RS,passagem,0,0
C_1_entrada,2,RS,passagem,0,0
C_1_entrada,3,RS,passagem,0,0
C_1_entrada,4,RS,passagem,0,0
C_1_entrada,5,RS,passagem,0,0
C_1_entrada,6,RS,passagem,0,0
C_1_entrada,7,RS,passagem,0,0
C_1_entrada,8,RS,passagem,0,0
C_1_entrada,9,RS,passagem,0,0
C_2_entrada,0,MG,passagem,0,0
C_2_entrada,1,MG,passagem,0,0
C_2_entrada,2,MG,passagem,0,0
C_2_entrada,3,MG,passagem,0,0
C_2_entrada,4,MG,passagem,0,0
C_2_entrada,5,MG,passagem,0,0
C_2_entrada,6,MG,passagem,0,0
C_2_entrada,7,MG,passagem,0,0
C_2_entrada,8,MG,passagem,0,0
C_2_entrada,9,MG,passagem,0,0
C_3_entrada,0,PR,passagem,0,0
C_3_entrada,1,PR,passagem,0,0
C_3_entrada,2,PR,passagem,0,0
C_3_entrada,3,PR,passagem,0,0
C_3_entrada,4,PR,passagem,0,0
C_3_entrada,5,PR,passagem,0,0
C_3_entrada,6,PR,passagem,0,0
C_3_entrada,7,PR,passagem,0,0
C_3_entrada,8,PR,passagem,0,0
C_3_entrada,9,PR,passagem,0,0
C_4_entrada,0,AL,passagem,0,0
C_4_entrada,1,AL,passagem,0,0
