org;dest;capacidade max;uf;uso
F_0_entrada;F_0_saida;1000;AC;1
F_1_entrada;F_1_saida;1000;MT;1
F_2_entrada;F_2_saida;1000;RS;1
F_3_entrada;F_3_saida;1000;ES;1
F_4_entrada;F_4_saida;1000;PR;1
CD_0_entrada;CD_0_saida;1000;PA;1
CD_1_entrada;CD_1_saida;1000;AC;0
CD_2_entrada;CD_2_saida;1000;RO;-0
CD_3_entrada;CD_3_saida;1000;AM;0
CD_4_entrada;CD_4_saida;1000;RN;0
C_0_entrada;C_0_saida;1000;MA;1
C_1_entrada;C_1_saida;1000;AM;1
C_2_entrada;C_2_saida;1000;GO;1
C_3_entrada;C_3_saida;1000;DF;1
C_4_entrada;C_4_saida;1000;PI;1
C_5_entrada;C_5_saida;1000;CE;1
C_6_entrada;C_6_saida;1000;DF;1
C_7_entrada;C_7_saida;1000;AC;1
C_8_entrada;C_8_saida;1000;GO;1
C_9_entrada;C_9_saida;1000;PA;1
C_10_entrada;C_10_saida;1000;SP;1
C_11_entrada;C_11_saida;1000;PI;1
C_12_entrada;C_12_saida;1000;BA;1
C_13_entrada;C_13_saida;1000;SE;1
C_14_entrada;C_14_saida;1000;RN;1
C_15_entrada;C_15_saida;1000;MA;1
C_16_entrada;C_16_saida;1000;CE;1
C_17_entrada;C_17_saida;1000;DF;1
C_18_entrada;C_18_saida;1000;RR;1
C_19_entrada;C_19_saida;1000;MT;1
